2025-09-22 21:05:08 | INFO | Logging to file: logs/project_log.log
2025-09-22 21:05:08 | INFO | Log sanitization enabled, personal info removed
2025-09-22 21:05:22 | INFO | Logging to file: logs/project_log.log
2025-09-22 21:05:22 | INFO | Log sanitization enabled, personal info removed
2025-09-22 21:05:22 | INFO | Starting Producer to run continuously.
2025-09-22 21:05:22 | INFO | Use Ctrl+C to stop.
2025-09-22 21:05:22 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-22 21:05:22 | INFO | BUZZ_TOPIC: buzzline
2025-09-22 21:05:22 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-22 21:05:22 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 21:05:22 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-22 21:05:22 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 21:05:22 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-22 21:05:22 | INFO | Kafka broker address: localhost:9092
2025-09-22 21:05:24 | ERROR | Error checking Kafka: NoBrokersAvailable
2025-09-22 21:05:24 | WARNING | Kafka broker not available; continuing without Kafka.
2025-09-22 21:05:24 | INFO | Kafka disabled for this run.
2025-09-22 21:05:24 | INFO | {'message': 'I just tried a meme! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-22 21:05:24', 'category': 'humor', 'sentiment': 0.91, 'keyword_mentioned': 'meme', 'message_length': 37}
2025-09-22 21:05:29 | INFO | {'message': 'I just shared recipe! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-22 21:05:29', 'category': 'food', 'sentiment': 0.93, 'keyword_mentioned': 'recipe', 'message_length': 37}
2025-09-22 21:05:34 | INFO | {'message': 'I just found JavaScript! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-22 21:05:34', 'category': 'tech', 'sentiment': 0.32, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-22 21:05:39 | INFO | {'message': 'I just found Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-22 21:05:39', 'category': 'tech', 'sentiment': 0.61, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-22 21:05:44 | INFO | {'message': 'I just tried recipe! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-22 21:05:44', 'category': 'food', 'sentiment': 0.42, 'keyword_mentioned': 'recipe', 'message_length': 37}
2025-09-22 21:05:49 | INFO | {'message': 'I just tried a trick! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-22 21:05:49', 'category': 'other', 'sentiment': 0.52, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-22 21:05:54 | INFO | {'message': 'I just loved a movie! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-22 21:05:54', 'category': 'entertainment', 'sentiment': 0.03, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-22 21:05:59 | INFO | {'message': 'I just tried JavaScript! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-22 21:05:59', 'category': 'tech', 'sentiment': 0.39, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-22 21:06:04 | INFO | {'message': 'I just found a trick! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-22 21:06:04', 'category': 'other', 'sentiment': 0.91, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-22 21:06:09 | INFO | Logging to file: logs/project_log.log
2025-09-22 21:06:09 | INFO | Log sanitization enabled, personal info removed
2025-09-22 21:06:09 | INFO | {'message': 'I just saw game! It was weird.', 'author': 'Alice', 'timestamp': '2025-09-22 21:06:09', 'category': 'gaming', 'sentiment': 0.6, 'keyword_mentioned': 'game', 'message_length': 30}
2025-09-22 21:06:14 | INFO | {'message': 'I just saw a meme! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-22 21:06:14', 'category': 'humor', 'sentiment': 0.08, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-22 21:06:19 | INFO | {'message': 'I just shared a trick! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-22 21:06:19', 'category': 'other', 'sentiment': 1.0, 'keyword_mentioned': 'other', 'message_length': 38}
2025-09-22 21:06:24 | INFO | {'message': 'I just shared a meme! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-22 21:06:24', 'category': 'humor', 'sentiment': 0.27, 'keyword_mentioned': 'meme', 'message_length': 36}
2025-09-22 21:06:29 | INFO | {'message': 'I just loved Python! It was weird.', 'author': 'Alice', 'timestamp': '2025-09-22 21:06:29', 'category': 'tech', 'sentiment': 0.96, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-22 21:06:34 | INFO | {'message': 'I just tried Python! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-22 21:06:34', 'category': 'tech', 'sentiment': 0.18, 'keyword_mentioned': 'Python', 'message_length': 37}
2025-09-22 21:06:39 | INFO | {'message': 'I just saw game! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-22 21:06:39', 'category': 'gaming', 'sentiment': 0.14, 'keyword_mentioned': 'game', 'message_length': 31}
2025-09-22 21:06:44 | WARNING | Producer interrupted by user.
2025-09-22 21:06:44 | INFO | Producer shutting down.
2025-09-22 21:12:06 | INFO | Logging to file: logs/project_log.log
2025-09-22 21:12:06 | INFO | Log sanitization enabled, personal info removed
2025-09-22 21:12:06 | INFO | Starting Producer to run continuously.
2025-09-22 21:12:06 | INFO | Use Ctrl+C to stop.
2025-09-22 21:12:06 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-22 21:12:06 | INFO | BUZZ_TOPIC: buzzline
2025-09-22 21:12:06 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-22 21:12:06 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 21:12:06 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-22 21:12:06 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 21:12:06 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-22 21:12:06 | INFO | Deleted existing live data file.
2025-09-22 21:12:06 | INFO | Kafka broker address: localhost:9092
2025-09-22 21:12:08 | ERROR | Error checking Kafka: NoBrokersAvailable
2025-09-22 21:12:08 | WARNING | Kafka broker not available; continuing without Kafka.
2025-09-22 21:12:08 | INFO | Kafka disabled for this run.
2025-09-22 21:12:08 | INFO | {'message': 'I just shared a meme! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-22 21:12:08', 'category': 'humor', 'sentiment': 0.46, 'keyword_mentioned': 'meme', 'message_length': 37}
2025-09-22 21:12:13 | INFO | {'message': 'I just tried travel! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-22 21:12:13', 'category': 'travel', 'sentiment': 0.19, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-22 21:12:18 | INFO | {'message': 'I just saw a movie! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-22 21:12:18', 'category': 'entertainment', 'sentiment': 0.22, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-22 21:12:23 | INFO | {'message': 'I just shared recipe! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-22 21:12:23', 'category': 'food', 'sentiment': 0.03, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-22 21:12:28 | INFO | {'message': 'I just saw an app! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-22 21:12:28', 'category': 'other', 'sentiment': 0.98, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-22 21:12:33 | INFO | {'message': 'I just loved a story! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-22 21:12:33', 'category': 'other', 'sentiment': 0.05, 'keyword_mentioned': 'other', 'message_length': 38}
2025-09-22 21:12:38 | INFO | {'message': 'I just found a story! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-22 21:12:38', 'category': 'other', 'sentiment': 0.47, 'keyword_mentioned': 'other', 'message_length': 38}
2025-09-22 21:12:39 | INFO | Logging to file: logs/project_log.log
2025-09-22 21:12:39 | INFO | Log sanitization enabled, personal info removed
2025-09-22 21:12:43 | INFO | {'message': 'I just tried a story! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-22 21:12:43', 'category': 'other', 'sentiment': 0.61, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-22 21:12:48 | INFO | {'message': 'I just loved a story! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-22 21:12:48', 'category': 'other', 'sentiment': 0.19, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-22 21:12:53 | INFO | {'message': 'I just shared a movie! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-22 21:12:53', 'category': 'entertainment', 'sentiment': 0.14, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-22 21:12:57 | WARNING | Producer interrupted by user.
2025-09-22 21:12:57 | INFO | Producer shutting down.
